med_condition_id,med_condition
473,LUPUS ÉRYTHÉMATEUX
154,MÉLANOME
970,LIGNES LATÉRALES CANTHALES
218,HYPERTENSION ARTÉRIELLE PULMONAIRE (HAP)
1054,RÉTINOBLASTOME
930,GLYCOGÉNOSE DE TYPE IA
215,CANCER DE LA PROSTATE MÉTASTATIQUE RÉSISTANT À LA CASTRATION
99,HÉMOPHILIE A
201,MALADIE DE POMPE
279,DERMATITIE ATOPIQUE
501,TROUBLE BIPOLAIRE
871,TACHYCARDIE PAROXYSTIQUE SUPRAVENTRICULAIRE (TPSV)
370,MALADIE DU GREFFON CONTRE L'HÔTE
799,RHINOSINUSITE
210,MALADIES D'IMMUNODÉFICIENCE PRIMAIRE
734,STÉATOHÉPATITE NON ALCOOLIQUE (NASH)
292,HÉMATOLOGIQUES MALIGNES
506,LEUCÉMIE MYÉLOÏDE AIGUË DE RECHUTE OU RÉFRACTAIRE
50,CANCER COLORECTAL
187,CANCER DU PANCRÉAS
959,BÉTA-THALASSEMIA
719,LEUCÉMIE MYÉLOÏDE AIGUË
25,DÉPRESSION BIPOLAIRE
81,CANCER DES TROMPES DE FALLOPE
793,L'EMBOLIE PULMONAIRE AIGU
150,LYMPHOME DIFFUS À GRANDES CELLULES B
315,LYMPHOME FOLLICULAIRE
429,TROUBLE ANXIEUX
979,CELLULES GÉANTES DE TUMEURS D'OS
240,CARCINOME ÉPIDERMOÏDE
351,TROUBLES DU SPECTRE AUTISTIQUE
431,GREFFE DE CELLULES SOUCHES HÉMATOPOÏÉTIQUES
983,L'ASPHYXIE À LA NAISSANCE
598,MALADIE CORONARIENNE
458,CANCER BILIAIRE
394,LEUCÉMIE AIGUË LYMPHOBLASTIQUE
844,ADÉDOCARCINOME DU PANCRÉAS
476,GLOMÉRULOSCLÉROSE SEGMENTAIRE ET FOCALE(GSSF)
168,MYÉLOME
227,SCHIZOPHRÉNIE
768,PARALYSIE SUPRANUCLÉAIRE PROGRESSIVE
454,CHOLESTASE INTRAHÉPATIQUE PROGRESSIVE FAMILIAL
388,DIABÈTE
1053,ANÉVRISME
860,PERTE SANGUINE
475,RHINITE
790,INFECTION TUBERCULEUSE (TB) LATENTE
453,SYNDROME D'ALAGILLE
1046,POLYNEUROPATHIE AMYLOÏDE HÉRÉDITAIRE LIÉE À UNE MUTATION DE LA TRANSTHYRÉTINE
395,ANGIONEUROTIQUE HÉRÉDITAIRE
1018,POLYPOSES ADÉNOMATEUSES FAMILIALES.
791,TAUX ÉLEVÉ DE LIPOPROTÉINES
1022,CONFLIT FÉMORO-ACÉTABULAIRE DE TYPE CAME
921,CANCER ANAL
735,TUMEURS DE GONOCYTES
813,CARCINOME
835,AGRESSION
737,INSOMNIE
219,CARCINOME MÉTASTATIQUE DES CELLULES RÉNALES
878,GLOMÉRULOPATHIE
676,IMMUNODÉFICIENCE HUMORALE PRIMAIRE
609,MYOPATHIE DU GNE
610,MYOPATHIE À CORPS DINCLUSIONS HÉRÉDITAIRE
679,PRODUCTION DE LIPOPROTÉINES
669,CANCER DU REIN
209,CIRRHOSE BILIAIRE PRIMITIVE
961,DYSFONCTIONS CARDIOPULMAIRES
960,ALLERGIES ALIMENTAIRES
531,DIARRHÉE ASSOCIÉE AU CLOSTRIDIUM DIFFICILE
972,LYMPHO HISTIOCYTOSE HEMOPHAGOCYSTAIRE
332,RHABDOMYOSARCOME
632,IMMUNISATION
569,DOULEUR ASSOCIÉE À L'HYSTÉRECTOMIE
854,CARENCE EN FER
853,CONJONCTIVITE ADÉNOVIRAUX
407,CHIRURGIE ABDOMINALE
573,DYSTROPHIE MUSCULAIRE OCULO-PHARYNGÉE (DMOP)
213,ADÉNOCARCINOME PROSTATIQUE
628,ALGIE VASCULAIRE CHRONIQUE DE LA FACE
552,PROPHYLAXIE D'INFECTIONS
328,TUMEUR INFLAMMATOIRE MYOFIBROBLASTIQUE
434,PRÉ-ÉCLAMPSIE
446,NEUROFIBROMES PLEXIFORMES
385,MALADIES NEURODÉGÉNÉRATIVES
448,ALLERGIE À L'HERBE À POUX
105,VIRUS DE L'HÉPATITE C DE GÉNOTYPE 1 OU 4
413,SYNCOPE VASOVAGALE
522,PLAQUE DANS L'ARTÈRE CAROTIDE
549,OSTÉOGENÈSE IMPARFAITE
547,CARENCE EN LIPASE ACIDE LYSOSOMALE
378,PANUVÉITE
544,PHASE CHRONIQUE OU ACCÉLÉRÉE DE LEUCÉMIE MYÉLOÏDE CHRONIQUE
706,FAUSSE COUCHES RÉCURRENTES
478,HYPERPLASIE DE LA PROSTATE
917,OEDÈME CÉRÉBRAL
992,MASTOCYTOSE
926,MALADIES PÉROXYSOMIALES
915,TRANSPOSITION DES GROS VAISSEAUX (TGV)
182,OTITE EXTERNE
810,MYOPATHIE MYOTUBULAIRE LIEE A L'X
862,L'ENTÉROCOLITE NÉCROTIQUE
646,MALADIE INTESTINALE INFLAMMATOIRE
902,L'OCCLUSION ARTÉRIELLE RADIALE
874,L'EMBOLIE PULMONAIRE
765,TUMEURS CÉRÉBRALES PRIMITIVES
834,MYOCARDIOPATHIE
739,TROUBLES HÉRÉDITAIRES DE LA RÉTINE
717,GLYCÉMIE
704,INSUFFISANCE PANCRÉATIQUE EXOCRINE
666,ADÉNOCARCINOME DE L¿ESTOMAC
877,DES ÉVÉNEMENTS RÉNALE GRAVES
931,SYNDROME LYMPHOPROLIFERATIF ASSOCIÉ AU VIRUS D'EPSTEIN-BARR
731,INSUFFISANCE RENALE CHRONIQUE
242,STRESS
778,FONTE CORNÉENNÉS
779,INFLAMMATION OCULAIRE
398,TROUBLES NEUROPSYCHIATRIQUES
161,SCLÉROSE EN PLAQUES
837,FRACTURES
722,CARCINOME À CELLULES RÉNALES
158,MIGRAINE CHRONIQUE
468,CONSTIPATION
169,INFARCTUS DU MYOCARDE
112,HIDROSADÉNITE SUPPURÉE
163,MYASTHÉNIE GRAVE
481,LYMPHOME DE HODGKIN
235,CANCER PULMONAIRE À PETITES CELLULES
157,MIGRAINE
33,INFECTION À CLOSTRIDIUM DIFFICILE
152,SYNDROME DÉPRESSIF MAJEUR
702,CANCER DU SEIN TRIPLE NÉGATIF
433,FIBRILLATION AURICULAIRE
338,THROMBOEMBOLIE VEINEUSE
796,TUMEURS SOLIDES MÉTASTATIQUES
1017,ALPHA-MANNOSIDOSE
1030,VIRÉMIE BK
250,CANCER DE LA THYROÏDE
696,CANCER DE L'OESOPHAGE
523,INSUFFISANCE CARDIAQUE AVEC FRACTION DÉJECTION CONSERVÉE
588,POLYNEUROPATIE PROVOQUÉE PAR LA TRANSTHYRÉTINE ((POLYNEUROPATHIE AMYLOSE FAMILIALE PAF)
177,LYMPHOME NON HODGKINIEN
19,ASTHME
178,CANCER VÉSICAL NON ENVAHISSANT LE MUSCLE
929,VITILIGO
1001,TUMEURS MALIGNES À UN STADE AVANCÉ
116,HYPERCHOLESTÉROLÉMIE FAMILIALE HOMOZYGOTE
257,DIABÈTE DE TYPE 2
110,CARCINOME HÉPATOCELLULAIRE
443,ATROPHIE VULVO-VAGINALE
986,LA CYSTINOSE
984,LÉSION CÉRÉBRALE
95,CANCER CERVICO-FACIAL
967,CANCER VÉSICAL ENVAHISSANT DE MUSCLE
471,CANCER GASTRO-INTESTINAL
985,LA MALADIE DE WILSON
636,HYPOPHOSPHATASIE D'ORIGINE PÉDIATRIQUE
887,BRONCHIOLITE
955,PURPURA THROMBOCYTOPÉNIQUE IDIOPATHIQUE (PTI)
649,HÉMOGLOBINURIE PAROXYSTIQUE NOCTURNE
586,OSTÉOSARCOME
808,SYNDROME DE TACHYCARDIE ORTHOSTATIQUE POSTURALE
42,TOUX CHRONIQUE
998,CANCER EXPRIMANT LA MÉSOTHÉLINE
293,TUMEURS SOLIDES MALIGNES
404,HÉMORRAGIE INTRACRÂNIENNE
185,VESSIE HYPERACTIVE
22,MALADIE AUTO-IMMUNE
319,DÉFAILLANCE CARDIAQUE CHRONIQUE
553,ANASTHÉSIE
633,TUMEURS NEUROENDOCRINES
671,CANCER DU RECTUM
341,PRISE DE POIDS
565,SCLÉROSE EN PLAQUES RÉCURRENTE-RÉMITTENTE
674,MUSCLES GASTROCNÉMIENS HYPERTROPHIQUES
928,SYNDROME D'ABSTINENCE ALCOOLIQUE
895,DÉFICIT EN PYRUVATE-KINASE
21,SYNDROME HÉMOLYTIQUE ET URÉMIQUE ATYPIQUE
361,DÉMENCE
761,HYPOFINBRINOGÉNÉMIE
763,DÉSORDRES THYROÏDIENS
798,OSTÉOPOROSE INDUITE PAR LES GLUCOCORTICOÎDES
